,cut_true_function,cut_false_function,cut_true_effect,cut_false_effect
0,消食清热,补益肝肾,热病烦闷,小儿脱肛
1,托举升阳,外用解毒,舌干口渴,虚损失血
2,壮阳益肾,升阳发散,口渴喜饮,火眼赤肿
3,祛瘀生肌,补益肾阴,食少便溏,皮肤风热
4,和血散瘀,降炎火,木舌重舌,急性泻痢
5,和肝健脾,化痞截疟,阴疽疮疡,大便燥结
6,软坚消瘿,泻下寒积,麻木疼痛,精力不足
7,消积逐瘀,醒脾气,痈毒红肿,心烦不宁
8,消食除积,升阳发表,气虚喘咳,痰浊黄稠
9,安神除烦,滋养温补,虚劳骨蒸,身体消瘦
10,辟秽除瘴,温寒蠲饮,感冒咳嗽,火热毒盛
11,温经通络,涩汤止痢,便秘腹胀,咽喉溃腐
12,养血平肝,补益精血,肺痨咳喘,微恶风寒
13,辟秽祛浊,润泽肌肤,头痛发热,肝脾不调
14,止泻利尿,治痈肿,口干烦渴,肌肉痉挛
15,开窍宁神,催生断片,阴虚劳热,病后恢复
16,托脓生肌,调和气血,肺痈喘胀,带状疮疹
17,利湿去浊,温补脾肾,疥癣疮毒,风热表证
18,泻火消肿,并能明目,淋痛尿血,折伤瘀痛
19,除湿祛风,隆气化痰,恶寒发热,耳道流脓
20,温中行气,固摄脾肾,流注肿毒,刀伤出血
21,清燥润肺,透发麻疹,虚寒腹痛,妇子带下
22,活血祛瘀,补益脾肾,血滞经闭,饮食中毒
23,清热解毒,壮筋骨,劳伤身疼,胃脘热痛
24,平肝解痉,温补肾阳,血热吐血,皮肤疱疹
25,化谈散结,小便频数,水肿臌胀,行走不利
26,祛风开窍,辛温发表,胃痛吞酸,久病体虚
27,拔毒消肿,滋补肝肾,疖肿脓疡,风痹不仁
28,补血杀虫,滋养强壮,肺痨咳血,壮筋骨
29,透表泄热,头痛等症,痨热咳嗽,留滞肌表
30,祛风活血,驱蛔虫,肾亏体虚,炙疮不敛
31,清热去湿,燥湿收敛,自汗气短,慢性头风
32,敛疮止疼,滋补肾阴,热伤津液,淋浊带下
33,杀虫截疟,散寒表汗,白浊血尿,胃肠绞痛
34,下气行水,芳香健胃,实热便秘,乳汁缺少
35,软坚化痰,辛温解表,瘀血凝滞,小腹胀痛
36,镇痛化积,健脾助运,损伤骨折,胃脘闷胀
37,散风和血,缓解药毒,喘咳气逆,流注膀胱
38,明目止泪,软坚散肿,劳倦伤脾,泻而不畅
39,养心安神,利大小便,丹毒疮痈,产后淋沥
40,化瘀疗伤,消肿收敛,瘀血伤痛,驱蛔虫
41,养阴清肺,收敛止痢,阳虚泄泻,胎动漏红
42,化滞止痛,芳香醒胃,膨胀水肿,风毒流注
43,行气通络,治肺痈,疮疡癣疹,排尿困难
44,散寒镇痛,清散风热,血燥便秘,食纳减少
45,除湿凉血,强壮筋骨,湿热泻痢,手足拘挛
46,宽胸利气,补阳益服,风热耳聋,咳痰之证
47,宣表和中,和解表里,高热咳嗽,痔疮瘘管
48,杀虫敛疮,通利二便,血虚痿黄,肢节酸痛
49,攻毒拔毒,缓解止痛,暑湿伤中,胸膈胀满
50,温肺止咳,行气破积,风湿浮肿,胸中积热
51,除烦止渴,调养气血,食少口干,产后虚损
52,祛风化斑,芳香化湿,口糜舌疮,劳卷乏力
53,解毒疗疮,接筋骨,胃热呃逆,风热上壅
54,破血活血,解血热,气怯息短,并可癌肿
55,滋补活血,托痘疮,胃呆食少,皮肤过敏
56,健胃止呕,兴奋健胃,痈肿疔疮,食鱼中毒
57,消食化滞,辛凉解表,扭伤脱臼,皮肤瘢痕
58,消痞解酒,宣散风热,跌扑瘀肿,风热表症
59,利水止痢,清心胃火,头昏少食,眼部涩痒
60,补肝强筋,补益精气,肺痈咳嗽,小儿头疖
61,健脾补虚,泻痢腹痛,食积腹痛,月经过多
62,滋阴敛汗,散头风,风湿痹前,目痛泪出
63,通经下乳,升散透疹,血热崩漏,解血热
64,温肾壮阳,腰膝酸痛,阴虚骨蒸,症瘕浮肿
65,祛风疗痹,托毒外出,疮疖疗毒,小儿甙积
66,活血舒筋,补益气血,心热惊悸,麻疹初期
67,发汗解毒,滋补壮阳,风寒咳嗽,两肋胀疼
68,安胎止血,发散外邪,赤丹肿毒,腰脊酸痛
69,清热活血,降胃气,自汗失眠,咳嗽喘逆
70,祛风杀虫,汕痛等症,筋伤骨折,病后虚赢
71,泻火明目,补养强壮,疖毒淋病,肉食积滞
72,祛湿止泻,辛散止痛,体虚劳乏,腰背酸痛
73,补虚敛汗,接骨疗,下痢便血,二便阻隔
74,活血行气,通利肠胃,忧郁失眠,精神倦怠
75,温肾润肠,泻肝胆火,热毒痈疮,女子血枯
76,疏风止咳,发散表邪,痰热喘咳,喉舌肿痛
77,祛湿消肿,清热泄浊,肺炎发热,痰白清稀
78,利湿解毒,通利关节,热病便血,阴囊肿痛
79,止血利尿,调中利膈,恶疮赘疣,风热咳嗽
80,发汗止痛,调和诸药,腹涌腹泻,目翳肿痛
81,祛风燥湿,搜风祛湿,神昏抽搐,痘疮倒陷
82,祛寒镇痛,补心益肺,胃脘寒痛,视物不明
83,平肝息风,收敛固涩,恶疮疥癞,痔核肿痛
84,养血化瘀,续断接骨,挫伤青肿,咽喉糜烂
85,泄火止痛,补益脾胃,跌仆闪矬,活动不能
86,通经去瘀,解热截疟,血瘀经闭,不孕瘰疬
87,防腐生肌,滋补强壮,痨伤咳嗽,胁肋胀痛
88,散瘀通络,涌吐风痰,麻疹肺炎,腰腿痹痛
89,补脾束带,散血热,跹精滑精,小便涩少
90,止咳消肿,收敛滋补,虚寒吐泻,阴部生疮
91,清心醒神,泻实热,痰热哮喘,腹中症积
92,拔毒去腐,芳香化浊,疮疖肿疡,厌恶油腻
93,活络消肿,被肾壮阳,眼热赤痛,肠胃血痢
94,舒筋止痛,收敛消肿,筋骨伤痛,便下酸臭
95,解毒利尿,消散痈肿,痈疮疖肿,肺气不利
96,行气健胃,益气补益,跌打损伤,肿硬疼痛
97,滋补肺肾,息风止疫,血虚肢麻,跌打瘀痛
98,祛风逐寒,补益脾肺,痈疖疮癣,疮疡溃烂
99,解毒生肌,散瘀拔弹,脚气湿痹,蚊蚁叮咬
100,镇惊定抽,收敛制酸,湿滞气塞,风邪外袭
101,行气除胀,治水肿,阴虚盗汗,肌体风痒
102,止痛接骨,消积驱蛔,赤白下痢,阳气不宣
103,清肝泻火,甘缓解毒,多梦健忘,劳伤出血
104,杀虫灭虱,滋补养血,湿热带下,肠风便血
105,利肺化痰,软坚破积,咳喘痰多,子官出血
106,泻下导滞,收敛固脱,头昏目胀,小腹空坠
107,散瘀镇痛,,疮疡肿痛,关节红肿
108,益气填精,,湿滞内阻,肚脾肿大
109,通淋利尿,,肺痨虚损,时行感冒
110,清热消痈,,腹水肿胀,风显痹痛
111,镇心安神,,形瘦骨立,小便白浊
112,消肿散结,,风湿竣痪,乳汁不下
113,镇静安神,,虚劳吐血,丹毒游风
114,下气宽胸,,疗肿恶毒,泻痢无度
115,强筋助阳,,症瘕积聚,贫血头晕
116,补虚敛带,,纳少反胃,病后头昏
117,生津养胃,,暑热感冒,大肠气滞
118,拔毒止痒,,食少懒言,产后缺乳
119,除蒸宁咳,,腹满痞塞,乳房肿痛
120,破血行瘀,,瘀阻血凝,胸腹满闷
121,消痔疗疮,,肝风头痛,精神狂躁
122,补气健脾,,热病烦躁,皮肤结核
123,利尿止血,,骨蒸盗汗,所虚食少
124,理气润肠,,脾肾阳虚,脑中痰癖
125,益脾养胃,,腹痛痢疾,艋骨酸软
126,止痛止血,,咽痛失音,带脉不固
127,蠲痹止痛,,心衰水肿,乳房肿硬
128,宣肠益气,,便溏泄泻,恶血留滞
129,化瘀止咳,,体虚头昏,局部青瘀
130,滋阴壮阳,,高热感冒,口渴欲饮
131,消肿杀虫,,心悸多汗,高热不退
132,补肾益气,,亲疮肿毒,中暑头痛
133,养血濡目,,神疲健忘,皮肤麻痹
134,拔毒散结,,咳嗽多痰,食积停滞
135,解热除烦,,阳虚外感,喘息咳嗽
136,生肌敛疮,,胞脘闷胀,藤黄中毒
137,行气化瘀,,痰喘肿满,乌头中毒
138,消炎利尿,,阳痿早泄,带下色白
139,利水通淋,,食积腹胀,妇女带下
140,消瘿散结,,疥疮脓肿,脾胃虚损
141,去瘀消肿,,阳明头痛,睾丸肿大
142,解毒止痒,,肾虚遗尿,子宫下垂
143,散瘀行气,,疮疖疥癣,诸疮肿毒
144,补肺定喘,,湿热胸痞,足膝无务
145,温经通阳,,血虚萎黄,胸腹胀痛
146,解毒镇痉,,肢冷脉微,降炎火
147,通经收敛,,风寒感昌,四肢酸痛
