卒中急风,卒中 急风
卒倒昏闷,卒倒 昏闷
卒暴中风,卒暴 中风
足膝红肿热痛,足膝红肿 足膝热痛
走黄结胸,走黄 结胸
自汗气急,自汗 气急
自汗盗汗,自汗 盗汗
子脏风虚积冷,子脏风虚 子脏积冷
子嗽痰喘,子嗽 痰喘
坠马跌仆,坠马 跌仆
筑心痰喘,筑心 痰喘
肿满疼痛,肿满 疼痛
肿毒恶疮,肿毒 恶疮
中暑眩晕,中暑 眩晕
中满气短,中满 气短
中焦停寒,中焦 停寒
中风涎潮,中风 涎潮
中风瘫痪,中风 瘫痪
中风失音,中风 失音
中风不语,中风 不语
中恶头痛,中恶 头痛
瘈疭发痉,瘈疭 发痉
痔疾下血,痔疾 下血
痔疾秘涩,痔疾 秘涩
痔疮下血,痔疮 下血
痔疮出血,痔疮 出血
症瘕胀满,症瘕 胀满
症瘕血痨,症瘕 血痨
症瘕血块,症瘕 血块
胀满疼痛,胀满 疼痛
胀满喘息,胀满 喘息
胀满喘促,胀满 喘促
胀满不食,胀满 不食
谵语烦渴,谵语 烦渴
阴虚血少,阴虚 血少
阴虚瘦瘁,阴虚 瘦瘁
阴虚内蒸,阴虚 内蒸
阴虚滑脱,阴虚 滑脱
阴虚烦热,阴虚 烦热
阴虚盗汗,阴虚 盗汗
阴弱盗汗,阴弱 盗汗
阴疽痔漏,阴疽 痔漏
阴竭阳微,阴竭 阳微
眼目赤疼痛肿,眼目赤疼 眼目痛肿
血少气寒,血少 气寒
虚肿疼痛,虚肿 疼痛
虚弱不能动摇,虚弱 不能动摇
虚劳五心烦热,虚劳 五心烦热
虚劳极冷,虚劳 极冷
虚劳发热,虚劳 发热
虚劳盗汗,虚劳 盗汗
虚浮肿胀,虚浮 肿胀
虚烦渴躁,虚烦 渴躁
虚乏黄瘦,虚乏 黄瘦
胸痛胁胀,胸痛 胁胀
胸痛彻背,胸痛 背痛
胸前满闷,胸前 满闷
胸闷脘胀,胸闷 脘胀
胸闷泛恶,胸闷 泛恶
胸闷呃逆,胸闷 呃逆
心跳不眠,心跳 不眠
心忪胸满,心忪 胸满
心忪颊赤,心忪 颊赤
心忪悸乱,心忪 悸乱
心忪悸动,心忪 悸动
心忪恍惚,心忪 恍惚
心腹腰脚疼痛,心腹疼痛 腰脚疼痛
心腹胸背攻刺作疼,心腹攻刺作疼 胸背攻刺作疼
心腹及胁肋疼痛,心腹疼痛 胁肋疼痛
心腹刺痛膨闷,心腹刺痛 心腹膨闷
心风血邪,心风 血邪
心烦躁闷,心烦 躁闷
心烦身热,心烦 身热
心烦呕吐,心烦 呕吐
心烦口渴,心烦 口渴
心烦惊悸,心烦 惊悸
心烦恍惚,心烦 恍惚
心烦不寐,心烦 不寐
心烦不安,心烦 不安
胁胀头眩,胁胀 头眩
胁胀腹痛,胁胀 腹痛
胃虚吐蛔,胃虚 吐蛔
胃虚食滞,胃虚 食滞
胃虚寒呃逆,胃虚寒 呃逆
胃虚烦躁,胃虚 烦躁
胃冷吐食,胃冷 吐食
畏寒怕冷,畏寒 怕冷
畏寒发热,畏寒 发热
痿挛无力,痿挛 无力
痿黄无力,痿黄 无力
萎黄不耐劳苦,痿黄 不耐劳苦
头晕眼花,头晕 眼花
头晕目眩,头晕 目眩
头晕恶心,头晕 恶心
头眩眼痛,头眩 眼痛
头眩耳鸣,头眩 耳鸣
头旋卒倒,头旋 卒倒
头旋眼花,头旋 眼花
头旋目眩,头旋 目眩
头旋目昏,头旋 目昏
头项腰脊俱痛,头项痛 腰脊痛
头痛壮热,头痛 壮热
头痛运旋,头痛 晕旋
头痛眩晕,头痛 眩晕
头痛项冷,头痛 项冷
头痛畏风,头痛 畏风
头痛体疼,头痛 体疼
头痛口渴,头痛 口渴
头痛昏重,头痛 昏重
头疼眼痛,头疼 眼痛
头疼眼花,头疼 眼花
头身疼痛,头疼痛 身疼痛
头身皆重,头重 身重
头热心烦,头热 心烦
头目心胸不利,头目不利 心胸不利
头目四肢疼痛,头目疼痛 四肢疼痛
头目四肢俱疼,头目疼 四肢疼
头目昏闷烦疼,头目昏闷 头目烦疼
头面四肢肿满,头面肿满 四肢肿满
头面四肢浮肿,头面浮肿 四肢浮肿
头面四肢发肿,头面发肿 四肢发肿
头面手足虚肿,头面虚肿 四肢虚肿
头面身体皆肿,头面肿 四肢肿
头面及四肢浮肿,头面浮肿 四肢浮肿
头昏眼花,头昏 眼花
头昏目眩,头昏 目眩
头昏目暗,头昏 目暗
停食痞塞,停食 痞塞
停食发热,停食 发热
跳踯大叫,跳踯 大叫
体虚血少,体虚 血少
体虚无力,体虚 无力
体虚怕冷,体虚 怕冷
体虚乏力,体虚 乏力
体虚多汗,体虚 多汗
体瘦心怯,体瘦 心怯
体瘦乏弱,体瘦 乏弱
体热烦闷,体热 烦闷
体亏无神,体亏 无神
体亏气弱,体亏 气弱
体倦食少,体倦 食少
体倦骨疼,体倦 骨疼
痰饮咳嗽,痰饮 咳嗽
痰涎壅滞,痰涎 壅滞
