Name,Label,Other_Name,Taste,Type,Effect,Treat
苋根,0,地筋,甘、寒,肝、大肠,0,"['阴囊肿痛', '痔疮', '牙痛', '跌打损伤', '崩漏', '带下']"
牛心果,0,牛心梨,苦、甘、寒,大肠,清热、止痢、驱虫,"['热毒痢痢疾', '肠道寄生虫病']"
胖大海,0,大海、大海子、大洞果、大发、安南子、胡大海、通大海、大海榄,甘、寒,肺、大肠,清热、润肺、利咽、清肠、通便,"['干咳无痰', '咽喉肿痛', '音哑', '牙痛', '热结便秘']"
千屈菜,0,对叶莲、对牙草、铁菱角、马鞭草、败毒草、鸡骨草、大钓鱼竿、乌鸡腿、蜈蚣草、水槟榔、水柳、棉包根、哮喘药,苦、寒,大肠、肝,清热、凉血、清热毒、收敛、破经、通瘀,"['痢疾', '血崩', '溃疡', '痢疾', '瘀血经闭']"
牵牛子,0,牵牛、黑丑、白丑、二丑、喇叭花子、草金铃、金铃、黑牵牛、白牵牛、丑牛子,苦、寒,肺、肾、大肠,泻水、下气、杀虫,"['水肿', '喘满', '痰饮', '脚气', '虫积食滞', '大便秘结']"
青海马尾连,0,0,苦、寒,肝、大肠,清热、燥湿、泻炎、解毒,"['痢疾', '肠炎', '黄疸', '肝炎', '目赤肿痛']"
琼枝,0,石华、石花菜、石花、海菜、草珊瑚,甘、咸、寒,肺、肝、大肠,清肺、化痰、软坚、散结、解毒,"['痰热咳嗽', '瘿瘤痰核', '痔疮肿痛或下血', '肠炎']"
汝兰,0,金线吊乌龟、千金藤、山乌龟、吊金龟、金不换,苦、寒,心、肝、大肠,祛风、除湿、清热、解毒,"['风湿关节痛', '中暑', '痢疾', '痈疖疮毒']"
软水黄连,0,土黄连、水黄连、软杆子水黄连,苦、寒,肝、大肠,清热、利湿、解毒,"['痢疾', '黄疸', '目赤', '痈肿']"
三筒管,0,山总管、百解薯、白金古榄、千金薯、竹叶薯、金银带,苦、寒,心、大肠,清热、解毒,"['急性肠胃炎', '细菌性痢疾', '疮疖肿毒']"
椿皮,0,臭椿、椿根皮、樗白皮、樗根皮,苦、涩、寒,大肠、胃、肝,清热、燥湿、收涩、止带、止泻、止血,"['赤白带下', '湿热泻痢', '久泻久痢', '便血', '崩漏']"
罗锅底,0,金盆、金龟莲、金银盆、土马兜铃、金腰莲、曲莲、苦金盆、金龟盆、小金瓜、野黄瓜、金吊嫩黄瓜、金茨菇、土瓜内消、金腰莲金盆、苦丁板、盘莲,苦、寒,心、胃、大肠,清热、解毒、消肿、止痛,"['咽喉肿痛', '牙痛', '目赤肿痛', '菌痢', '肠炎', '胃痛', '肝炎', '尿路感染', '疔肿']"
蛇莓,0,蛇泡草、蛇盘草、蛇果草、龙吐珠、宝珠草、三匹风、三叶莓、地杨梅、三爪风、三爪龙、三脚虎、红顶果、鸡冠果、野杨梅、蛇藨、地莓、蚕莓、三点红、狮子尾、疔疮药、蛇蛋果、地锦、三皮风、一点红、老蛇泡、蛇蓉草、蛇波藤、蛇八瓣、龙衔珠、小草莓、蛇不见、金蝉草、三叶藨、疗疮药、蛇皮藤、老蛇刺占、老蛇蔂、龙球草、蛇葡萄、蛇果藤、蛇枕头、蛇含草、哈哈果、麻蛇果、九龙草、三匹草、蛇婆、蛇龟草、落地杨梅、血疔草,甘、苦、寒,肺、肝、大肠,清热、凉血、消肿、解毒,"['热病', '惊痫', '咳嗽', '吐血', '咽喉肿痛', '痢疾', '痈肿', '疔疮', '蛇虫咬伤', '汤火伤']"
柿子,0,0,甘、涩、寒,心、肺、大肠,清热、润肺、止渴,"['热渴', '咳嗽', '吐血', '口疮']"
蜀葵花,0,侧金盏、棋盘花、蜀其花、水芙蓉、栽秧花、镲钹花、擀杖花、吴葵华、白淑气花、蜀季花、麻杆花、舌其花、大蜀季花、果木花、木槿花、熟季花、秫秸花、端午花、大秫花、饼子花、公鸡花、单片花,甘、寒,肺、大肠、膀胱,和血、润燥、通利、二便,"['痢疾', '吐血', '血崩', '带下', '二便不通', '疟疾', '小儿风疹']"
大百解薯,0,金银袋、大总管、萝卜防己、大青木香,苦、寒,心、胃、大肠,理气、止痛、清热、解毒、止血,"['痉挛性胃痛', '腹痛', '急性胃肠炎', '胃及十二指肠溃疡', '痢疾', '跌打损伤', '疮痈肿毒', '外伤出血', '蛇咬伤', '骨结核']"
水曲柳,0,0,苦、寒,肝、肺、大肠,清热、燥湿、清肝、明目,"['湿热泻痢', '带下', '肝热目赤', '目生翳膜', '牛皮癣']"
唐松草,0,白蓬草、草黄连、马尾连、土黄连,苦、寒,心、肝、大肠,清热、泻火、燥湿、解毒,"['热病心烦', '湿热泻痢', '肺热咳嗽', '目赤肿痛', '痈肿疮疖']"
棠梨枝叶,0,0,酸、甘、涩、寒,大肠,舒肝、和胃、缓急、止泻,"['反胃吐食', '霍乱吐泻', '转筋腹痛']"
大黄,0,黄良、火参、肤如、将军、锦纹大黄、川军、峻、蜀大黄、牛舌大黄、锦纹、生军、香大黄、马蹄黄,苦、寒,胃、大肠、肝,泻实、泻热、破积滞、行瘀血,"['：实热便秘', '食积停滞', '腹痛', '急性阑尾炎', '急性传染性肝炎', '血瘀经闭', '牙痛', '衄血', '急性结膜炎', '外用烧烫伤', '化脓性皮肤病', '痈肿疮疡']"
铜锤草,0,大酸味草、大老鸦酸、地麦子、紫酢浆草、红花柞浆草、大咸酸甜草、水酸芝、一粒雪、隔夜合、紫醉浆草、大叶酢浆草、三夹道,酸、寒,肝、大肠,散瘀、消肿、清热、解毒,"['跌打损伤', '咽喉肿痛', '肾盂肾炎', '淋浊', '白带', '水泻', '痢疾', '痈疮', '烫伤']"
