Unnamed: 0,Unnamed: 0.1,名称,别名,Taste,Type,Function,Effect,摘自,Unnamed: 9
0,0,凹瓦韦,藏瓦韦,寒、苦、甘,missing,清热利湿,腹泻,中华本草,missing
1,1,凹朴皮,马桂木皮,温、辛,missing,祛风除湿、散寒止咳,风湿痹痛、风寒咳嗽,中华本草,missing
2,2,凹裂毛麝香,毛麝香、山薄荷,温、辛,missing,散瘀止痛,跌打损伤,中华本草,missing
3,3,艾叶,missing,温、苦、辛,脾、肾、肝,温经止血、散寒止痛、祛湿止痒,吐血、衄血、吃力血、便血、便血、崩漏、妊娠下血、月经不调、痛经、胎动不安、心腹冷痛、泄泻久痢、霍乱转筋、带下、湿疹、疥癣、痔疮、痈疡,中华本草,missing
4,4,艾实,艾子,温、苦、辛,missing,温肾壮阳,肾虚腰酸、阳虚内寒,中华本草,missing
5,5,艾纳香根,大风艾根,温、辛,missing,祛风活血、利水消肿,风湿关节痛、消化不良、泄泻、水肿、血瘀痛经、跌打肿痛,中华本草,missing
6,6,艾纳香,大风艾、牛耳艾、再风艾、大骨风、大黄草、冰片艾、冰片叶、真金草、土冰片、艾粉、叶下香、山大艾,温、苦、辛,missing,祛风除湿、温中止泻、活血解毒,风寒感冒、头风头痛、风湿痹痛、寒湿泻痢、寸白虫病、毒蛇咬伤、跌打伤痛、癣疮,中华本草,missing
7,7,艾虎脑,missing,寒、咸、甘,心,解毒,食物中毒、药物中毒,中华本草,missing
8,8,艾虎,地狗、艾鼬、两头乌、臭狗子,温、甘,心、肝,活血通络、镇痉、祛风,癫痫、瘫痪、半身不遂,中华本草,missing
9,9,安胎药,骨筋草、吓唬草。,温、涩、毒,脾、肾,温脾安胎、益气升提,胎动不安、脾脏肿大、内脏出血、脱肛、子宫脱垂,中华本草,missing
10,10,安徽刺黄柏,黄柏、刺黄柏、三颗针,寒、苦,大肠、胃、肝,解毒、清热燥湿、泻火,湿热痢疾、泄泻、黄疸、淋浊、带下、疮疡、咽喉肿痛、目赤肿痛,中华本草,missing
11,11,阿育魏实,missing,温、苦、辛,missing,散寒止痛、利湿、解毒,脘腹冷痛、消化不良、呕恶、泄泻、寒疝、痛经、尿路结石、疮疖肿毒,中华本草,missing
12,12,阿魏侧耳,missing,温、苦、辛,胃、脾,行气、消积、杀虫,胃痛、食积、虫积,中华本草,missing
13,13,阿魏,熏渠、魏去疾、哈昔泥、五彩魏、臭阿魏,平、辛、毒,胃、脾、肝,消积、化症、杀虫、截疟,症瘕痞块、虫积、食积、胸腹胀满、冷痛、疟疾、痢疾,中华本草,missing
14,14,阿胶,傅致胶、盆覆胶、驴皮胶,平、甘,肺、肾、肝,滋阴、润燥、补血、止血,血虚证、虚劳咯血、吐血、尿血、便血、血痢、妊娠下血、崩漏、阴虚心烦失眠、虚风内动之痉厥抽搐,中华本草,missing
15,15,阿尔泰紫菀,燥原蒿、铁杆蒿,凉、苦,missing,清热降火、排脓止咳,热病、肝胆火旺、肺脓疡、咳吐脓血、膀胱炎、疱疹疮疖,中华本草,missing
16,16,阿尔泰扭藿香,missing,温、辛,missing,化湿消暑、和中、行气,夏月感寒饮冷、腹痛吐泻,中华本草,missing
17,17,桉树果,洋草果、楠桉果、桉果,温、苦、辛、毒,missing,栽疟、健胃、理气、止痒,食积、腹胀、疟疾、皮炎、癣疮,中华本草,missing
18,18,庵 （艹闾）子,missing,温、苦、辛,missing,除湿、活血散瘀、祛风,妇女血瘀经闭、产后瘀滞腹痛、跌打损伤、风湿痹痛,中华本草,missing
19,19,庵 （艹闾）,庵（艹闾）草、庵 （艹闾）篙、淹 （艹闾）、覆（艹闾）、臭篙、庵蒿,温、苦、辛,missing,祛湿、行瘀通经,妇女血瘀经闭、跌打瘀肿、风湿痹痛,中华本草,missing
20,20,矮叶书带蕨,missing,平、苦、涩,肾、肝,舒筋活络、接骨止痛,跌打损伤、骨折,中华本草,missing
21,21,矮杨梅皮,missing,凉、涩、酸,missing,通络止痛、收敛、涩肠止泻、止血,痢疾、泄泻、脱肛、崩漏、消化道出血、风湿疼痛、跌打伤痛、外伤出血、黄水疮、疥癣、水火烫伤,中华本草,missing
22,22,矮杨梅果,杨梅果、滇杨梅、酸杨梅,凉、涩、酸,missing,敛肺止咳、涩肠止泻,泄泻、痢疾、便血、咳嗽,中华本草,missing
23,23,矮卫矛,missing,温、苦、辛,missing,除湿、通络、散寒、祛风,风寒湿痹、关节肿痛、肢体麻木,中华本草,missing
24,24,矮陀陀,小地黄连、小独根、思茅地黄连、千年矮。,凉、苦、甘,missing,解毒、活血止痛、清热,跌打瘀痛、风湿关节痛、咽喉炎、痈肿疔疮,中华本草,missing
25,25,矮柳穿鱼,missing,寒、苦,missing,解毒、利湿、消肿、清热,湿热黄疸，丹毒、咽喉肿痛、口舌生疮,中华本草,missing
26,26,矮脚南,矮叶南、矮子南、小白花草、矮陀陀。,凉、苦、涩,missing,解毒、活血止痛、清热,黄疸型肝炎、疮痈、跌打损伤、胃痛,中华本草,missing
27,27,矮脚罗伞,小罗伞、矮茶风、毛茎紫金牛、九节龙、地茶、猴接骨、毛罗伞、土丹皮、石狮子、铁羊伞,平、苦、辛,missing,祛风湿、活血止痛,风湿痹痛、咳嗽吐血、寒气腹痛、跌打损伤、痈疮肿痛,中华本草,missing
